gsis_id,display_name,common_first_name,first_name,last_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,position,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,jersey_number,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_position,pff_status,draft_year,draft_round,draft_pick,draft_team
FOR264274,Bernard Ford,Bernard,K.,Ford,,,,FOR264274,,FordBe00,,,,3200464f-5226-4274-ec90-e0068938ab8a,1966-02-27,WR,WR,,,69,168,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/x4tqfzpimjocgqmny40z",UCF; Marion Military Institute,,0,1989,1990,HOU,ACT,,,2,,,1988,3,65,BUF
00-0034234,Poona Ford,Poona,Kaylon,Ford,P.Ford,Poona,,FOR313563,46487,FordPo00,48875,7581,3125114,3200464f-5231-3563-7ceb-0c4e0d3f4032,1995-11-19,DL,DT,DL,INTERIOR_LINE,71,314,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/emckafsx5psbs9pjhhpe",Texas,Big Twelve Conference,97,2018,2026,LA,ACT,ACT,Active,9,DI,A,,,,
00-0034509,Keith Ford,Keith,Keith,Ford,K.Ford,Keith,,FOR267420,46693,FordKe00,23614,7213,3052662,3200464f-5226-7420-5f62-06b00b6b5e82,1994-04-18,RB,RB,RB,RB,70,219,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tagamx47ebjwvjjk9zuw",Texas A&M,Southeastern Conference,35,2018,2018,BUF,ACT,ACT,Active,0,HB,A,,,,
00-0030134,Michael Ford,Michael,Michael,Ford,,,,FOR296028,,FordMi00,8257,2484,16135,3200464f-5229-6028-8fc7-932ca384b2a5,1990-05-27,RB,RB,,,70,216,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oeusy8ivxdvyf9deonjx",LSU,,32,2013,2013,CHI,ACT,,,0,,,,,,
00-0034639,Mike Ford,Mike,Michael,Ford,M.Ford,Mike,,FOR299028,46823,FordMi01,50535,7426,3050916,3200464f-5229-9028-fcb4-155827177358,1995-08-04,DB,DB,DB,CB,72,199,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b3k1q0kl0mc7d0t8xkka",Southeast Missouri State,Ohio Valley Conference,28,2018,2026,ATL,ACT,ACT,Active,9,CB,A,,,,
FOR290028,Mike Ford,Mike,Michael,Ford,,,,FOR290028,,FordMi02,,,,3200464f-5229-0028-fb8a-018e6f050fcd,1959-01-30,QB,QB,,,75,220,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bgt5wlodyqzzk5kauckz",SMU,,0,1981,1982,CIN,RET,,,1,,,,,,
FOR302028,Moses Ford,Moses,Moses,Ford,,,,FOR302028,,FordMo20,,,,3200464f-5230-2028-91b0-1c69695e0fb4,1964-02-09,TE,TE,,,74,220,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nk2bvh96xxggwpm4blgf",Fayetteville State University,,0,1987,1987,PIT,ACT,,,0,,,,,,
00-0037232,Nick Ford,Nick,Nicolas,Ford,N.Ford,Nick,,FOR306222,54912,FordNi00,60183,,4243248,3200464f-5230-6222-5354-59e360bd79f1,1999-10-08,OL,G,OL,G,77,310,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/avtwylcchpqyrcveutsy",Utah,Pacific Twelve Conference,77,2022,2022,JAX,CUT,CUT,Practice Squad,0,,,,,,
00-0040434,Trace Ford,Trace,Trace,Ford,,,,FOR332702,,FordTr02,99307,12701,4427207,3200464f-5233-2702-4d17-8b79c0a2704d,2001-01-24,LB,LB,,,74,252,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wfwaqxn21kdhpybvhqih",Oklahoma; Oklahoma State,,48,2025,2026,NYG,DEV,,,1,,,,,,
00-0026815,Trevor Ford,Trevor,Trevor,Ford,,,,FOR335062,,FordTr00,,,13052,3200464f-5233-5062-95fb-6ea3dde05395,1986-02-19,DB,DB,,,72,188,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fmjfrgd0j37l1fpmqapc",Troy; Florida State,,39,2009,2009,GB,ACT,,,0,,,,,,
00-0038477,Bryce Ford-Wheaton,Bryce,Bryce,Ford-Wheaton,B.Ford-Wheaton,Bryce,,FOR389868,56232,FordBr00,78127,11291,4362227,3200464f-5238-9868-32d8-c5dc5e73b834,2000-03-09,WR,WR,WR,WR,75,220,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tpgo4wfllzjx9l703nhb",West Virginia,Big Twelve Conference,88,2023,2025,NYG,RES,ACT,Active,3,,,,,,
00-0005431,Brian Forde,Brian,Brian,Forde,,,,FOR352366,,FordBr21,,,,3200464f-5235-2366-4c9b-30373c37db63,1963-11-01,LB,LB,,,74,225,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ydflo54io1lpxbul08n4",Washington State,,0,1988,1992,ATL,RES,,,5,,,1988,7,190,NO
00-0041338,Caden Fordham,Caden,Caden,Fordham,,,,FOR364950,,FordCa02,143992,13766,4683096,3200464f-5236-4950-cf1d-7027d6c0c068,2002-10-21,LB,LB,,,73,232,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/syo5se7gt7lavlfxp3fl",N.C. State,,,2026,2026,TB,DEV,,,0,,,,,,
00-0005432,Todd Fordham,Todd,Lindsey,Fordham,,,,FOR388035,,FordTo20,,,1399,3200464f-5238-8035-c4c7-90f092e3d205,1973-10-09,OL,OT,,,77,319,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y8bu7lphwm5pysivkvn7",Florida State,,78,1997,2006,CAR,ACT,,,10,,,,,,
00-0033925,D'Onta Foreman,D'Onta,D'Onta,Foreman,D.Foreman,D'Onta,,FOR392618,44901,ForeDO00,11844,5675,3125116,3200464f-5239-2618-71de-9b22c3939617,1996-04-24,RB,RB,RB,RB,73,236,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/shlxaet74pmn8arznphw",Texas,Big Twelve Conference,27,2017,2024,CLE,ACT,ACT,Active,6,HB,A,2017,3,89,HOU
00-0005434,Jay Foreman,Jay,Jamal,Foreman,,,,FOR395369,24667,ForeJa20,521,,1909,3200464f-5239-5369-35cb-78b132bdda24,1976-02-18,LB,LB,,,73,240,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hnaguj8t7nvqsvrm1puu",Nebraska,,51,1999,2006,SF,RES,,,7,,,1999,5,156,BUF
00-0039536,Jeff Foreman,Jeff,Jeff,Foreman,J.Foreman,Jeff,,FOR395792,57655,ForeJe00,97868,,4427209,3200464f-5239-5792-4f1f-7c6f2795ccf1,1999-12-26,WR,WR,WR,WR,72,182,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ztrsgmpz7g0mifziyg63",Arkansas State,Sun Belt Conference,80,2024,2024,LV,RES,RES,R/Injured,0,,,,,,
FOR402704,Chuck Foreman,Chuck,Walter,Foreman,,,,FOR402704,,ForeCh00,,,,3200464f-5240-2704-38d6-4d6f89a28025,1950-10-26,RB,RB,,,74,210,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a3h17dlr4bau5y8gdnqi",Miami,,44,1974,1980,NE,ACT,,,8,,,,,,
00-0038223,Liam Fornadel,Liam,Liam,Fornadel,L.Fornadel,Liam,,FOR471918,55579,FornLi00,59769,,4249599,3200464f-5247-1918-c62d-8ebfc876a1e7,1999-06-17,OL,OT,OL,G,76,312,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/byl2u8acwyupfvutbjqq",James Madison,Sun Belt Conference,,2024,2025,NYJ,DEV,CUT,Practice Squad,1,,,,,,
00-0020262,Kynan Forney,Kynan,Kynan,Forney,,,,FOR474016,26439,FornKy20,926,,2768,3200464f-5247-4016-64e6-39fcca3a4349,1978-09-08,OL,G,,,75,302,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jgshrr5czbwcmlunwquf",Hawaii; Trinity Valley CC,,65,2001,2009,JAX,ACT,,,9,,,2001,7,219,ATL
FOR478211,Phil Forney,Phil,Philip,Forney,,,,FOR478211,,FornPh20,,,,3200464f-5247-8211-e067-3b6114f820dc,1963-09-18,LB,LB,,,74,230,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ybsfydijoawsoro7cubg",East Tennessee State,,0,1987,1987,LA,ACT,,,1,,,,,,
00-0036638,Darrick Forrest,Darrick,Darrick,Forrest,D.Forrest,Darrick,,FOR485545,53592,ForrDa00,55087,9627,4239088,3200464f-5248-5545-c56f-5beae4773c4c,1999-05-22,DB,SAF,DB,SAFETY,71,200,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kewtqnt8zc9xtxvlhdq9",Cincinnati,American Athletic Conference,29,2021,2026,SF,RES,ACT,Active,5,S,A,2021,5,163,WAS
00-0033113,Josh Forrest,Josh,Joshua,Forrest,J.Forrest,Josh,,FOR496380,43479,ForrJo00,10824,4903,2576678,3200464f-5249-6380-9676-0b98d557ad98,1992-02-24,LB,LB,,,75,240,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zatxmx13zhcq1ynr151z",Kentucky,,59,2016,2017,SEA,RES,CUT,,2,ED,,2016,6,190,LA
FOR503380,Tom Forrest,Tom,Thomas,Forrest,,,,FOR503380,,ForrTo20,,,,3200464f-5250-3380-877a-57658d69c1d6,1952-04-11,OL,G,,,74,255,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jzsovlmfyj2ogncnr9gm",Cincinnati,,0,1974,1974,CHI,ACT,,,0,,,1974,8,185,LAC
00-0036692,Miller Forristall,Miller,Miller,Forristall,M.Forristall,Miller,,FOR521589,53897,ForrMi00,47378,9792,4040714,3200464f-5252-1589-f614-49072ff30e76,1998-03-11,TE,TE,TE,TE,77,244,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fewy6chb5ajeb0bgb1ou",Alabama,Southeastern Conference,82,2021,2024,LA,CUT,CUT,Practice Squad,1,TE,P,,,,
FOR528549,Fred Forsberg,Fred,Frederick,Forsberg,,,,FOR528549,,ForsFr20,,,,3200464f-5252-8549-cb93-1b8929912448,1944-07-04,LB,MLB,,,73,235,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/alvlaemyajqrad1gf7wd",Washington,,0,1974,1974,LAC,ACT,,,6,,,,,,
00-0026373,Justin Forsett,Justin,Justin,Forsett,,Justin,,FOR530271,33314,ForsJu00,4547,1291,11467,3200464f-5253-0271-6c4c-2ad6d0a98d97,1985-10-14,RB,RB,,,68,195,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o86dvbcs8dcubcpj6fnu",California,Pacific Ten Conference,20,2008,2016,DEN,ACT,RES,Active,9,HB,,2008,7,233,SEA
00-0021938,Brock Forsey,Brock,Brock,Forsey,,,,FOR532743,28242,ForsBr00,,,4664,3200464f-5253-2743-626d-018700bcf1fd,1980-02-11,RB,RB,,,71,208,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/d3rky62yjut32coelh7f",Boise State,,43,2003,2004,MIA,ACT,,,2,,,2003,6,206,CHI
00-0029240,Marcus Forston,Marcus,Marcus,Forston,,,,FOR564719,,ForsMa00,7709,1229,15473,3200464f-5256-4719-9c34-65fce59c477e,1989-09-28,DL,DT,,,75,305,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m7kkkjlnptemtaum3d19",Miami,,0,2012,2013,NE,DEV,,,1,DI,,,,,
00-0038649,Alex Forsyth,Alex,Alex,Forsyth,A.Forsyth,Alex,,FOR566553,56122,ForsAl00,60012,11081,4242503,3200464f-5256-6553-cf04-7fe0756ccf29,1999-02-13,OL,C,OL,C,76,312,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yyvjgz6ikiyjw6au2kn1",Oregon,Pacific Twelve Conference,54,2023,2026,DEN,ACT,ACT,Active,4,C,A,2023,7,257,DEN
00-0005441,Ray Forsythe,Ray,Ray,Forsythe,,,,FOR593616,,,,,,3200464f-5259-3616-7449-9ff627414d91,1972-02-13,OL,G,,,75,310,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vucrr5n4ttscwmkmafrs",UCF,,0,1995,1995,CIN,ACT,,,0,,,,,,
00-0036653,Stone Forsythe,Stone,Stone,Forsythe,S.Forsythe,Stone,,FOR594051,53637,ForsSt00,41795,9672,4034962,3200464f-5259-4051-69a5-9f094df3af62,1997-12-29,OL,OT,OL,T,80,307,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gsok8muncvvgwztjewhn",Florida,Southeastern Conference,73,2021,2026,CAR,ACT,ACT,Active,6,T,A,2021,6,208,SEA
00-0034932,Austin Fort,Austin,Austin,Fort,A.Fort,Austin,,FOR594486,48055,FortAu00,30778,,3125402,3200464f-5259-4486-bb13-3a8d560e6b58,1995-05-14,TE,TE,TE,TE,76,244,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jxob0kbcgzgv7kdlm2bc",Wyoming,Mountain West Conference,0,2019,2021,TEN,DEV,RES,Reserve/Future,3,,,,,,
00-0028932,L.J. Fort,L.J.,Larry,Fort,L.Fort,L.J.,,FOR595356,38883,FortL.00,7292,295,15264,3200464f-5259-5356-9ada-5edfd285960d,1990-01-03,LB,LB,LB,MLB,72,232,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z3x0kdm8pc6wo4luvel1",Northern Iowa,Missouri Valley Football Conference,3,2012,2021,BAL,RES,RES,R/Injured,7,LB,,,,,
00-0005443,Neal Fort,Neal,Neal,Fort,,,,FOR597096,,,,,,3200464f-5259-7096-1770-1fdd04ef6a45,1968-04-12,OL,OT,,,77,279,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qvnztwgdvxgcrhfur9tl",BYU,,0,1992,1992,ATL,CUT,,,1,,,,,,
FOR629225,Ike Forte,Ike,Donald,Forte,,,,FOR629225,,FortIk00,,,,3200464f-5262-9225-1a2f-4d9855286e62,1954-03-08,RB,RB,,,72,203,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cdupvfmx2systrxiix5z",Arkansas; Tyler JC,,0,1976,1981,NYG,ACT,,,6,,,1976,2,35,NE
00-0026184,Matt Forte,Matt,Matthew,Forte,M.Forte,Matt,,FOR645404,33125,FortMa00,4358,141,11278,3200464f-5264-5404-4446-b6ef3bdf3d3a,1985-12-10,RB,RB,RB,RB,74,218,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/olqssssjykcx7tx7xsy3",Tulane,Conference USA,22,2008,2017,NYJ,RES,RES,Active,10,HB,,2008,2,44,CHI
00-0032161,Reshod Fortenberry,Reshod,Reshod,Fortenberry,,,,FOR661865,,,,,2971751,3200464f-5266-1865-fcbd-38104f479c88,1990-12-28,OL,G,,,77,275,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/efjirsggqzjey5irlch0",Texas Tech,,0,2015,2015,DAL,RES,,,0,,,,,,
00-0005446,Roman Fortin,Roman,Roman,Fortin,,,,FOR666978,,FortRo20,,,149,3200464f-5266-6978-1971-6b18374aca4c,1967-02-26,OL,OT,,,77,297,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qspnhlx0y2mj7v0tqnri",San Diego State; Oregon,,67,1991,2001,LAC,RES,,,12,,,1990,8,203,DET
FOR707878,Larry Fortner,Larry,Lawrence,Fortner,,,,FOR707878,,,,,,3200464f-5270-7878-6256-9941b5ddd2d6,1955-12-24,QB,QB,,,76,209,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ivxm9hxkddkdz3pzkbut",Miami,,0,1979,1980,ATL,RET,,,1,,,,,,
00-0037814,Luke Fortner,Luke,Luke,Fortner,L.Fortner,Luke,,FOR713383,54530,FortLu01,42028,10110,4035048,3200464f-5271-3383-dcdf-69c7a1e12725,1998-05-15,OL,C,OL,C,78,300,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lir08woankvv1ri6vpdr",Kentucky,Southeastern Conference,77,2022,2026,CAR,ACT,ACT,Active,5,C,A,2022,3,65,JAX
00-0035547,Joseph Fortson,Joseph,Joseph,Fortson,J.Fortson,Joseph,,FOR722821,48683,FortJo01,94384,8560,4408854,3200464f-5272-2821-1ddd-a7c086f6d6fc,1995-12-07,TE,TE,WR,WR,76,226,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gxhstzqswbn4z05r9rqv",Valdosta State; Erie CC,Gulf South Conference,88,2019,2024,KC,RES,RES,R/Injured,4,TE,A,,,,
00-0031240,Khairi Fortt,Khairi,Khairi,Fortt,,,,FOR728327,41355,FortKh00,8761,3065,16909,3200464f-5272-8327-24d0-b1d369bf9dcb,1992-03-24,LB,OLB,,,74,240,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ksmqxlilpdaidnsezbv6",California; Penn State,,58,2014,2014,JAX,RES,,,0,,,2014,4,126,NO
00-0005451,Elliott Fortune,Elliott,Elliott,Fortune,,,,FOR767654,,FortEl20,,,7935,3200464f-5276-7654-41a6-89442eb7ef11,1974-05-28,DL,DT,,,76,275,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bac4ll4xttotkccuse5s",Georgia Tech,,91,1995,1996,BAL,ACT,,,1,,,,,,
FOR780239,Hosea Fortune,Hosea,Hosea,Fortune,,,,FOR780239,,FortHo20,,,,3200464f-5278-0239-a5b4-69fc9f4f907b,1959-03-04,WR,WR,,,72,174,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sf3zmeldswmis6wt6a0e",Rice,,0,1983,1983,LAC,ACT,,,1,,,,,,
00-0022484,J.P. Foschi,J.P.,John,Foschi,,,,FOS047461,,FoscJo00,,,9286,3200464f-5304-7461-64ee-e4eb5f86273c,1982-05-19,TE,TE,,,75,265,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yphvtspw4qy5ibxsq8jy",Georgia Tech,,88,2005,2010,CIN,CUT,,,4,,,,,,
00-0039143,Isaiah Foskey,Isaiah,Isaiah,Foskey,I.Foskey,Isaiah,,FOS081863,55905,FoskIs00,102728,10864,4426457,3200464f-5308-1863-3f04-6cde65dd0aa3,2000-10-30,DL,DE,DL,EDGE,77,280,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/etyericvmbufgeiwkcry",Notre Dame,Independent,51,2023,2026,CIN,DEV,ACT,Active,4,ED,A,2023,2,40,NO
00-0026796,Arian Foster,Arian,Arian,Foster,,,,FOS107404,35021,FostAr00,5398,1640,12497,3200464f-5310-7404-7585-f05c6a2635f4,1986-08-24,RB,RB,,,73,227,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/b7zvp5go7e86i7wd1qyh",Tennessee,,29,2009,2016,MIA,NWT,,,8,HB,,,,,
00-0005452,Barry Foster,Barry,Barry,Foster,,,,FOS118654,,FostBa00,,,6677,3200464f-5311-8654-4ba0-b8072ad4da20,1968-12-08,RB,RB,,,70,218,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qgqgfzp8qjys26h9ezsf",Arkansas,,0,1990,1994,PIT,ACT,,,5,,,1990,5,128,PIT
00-0027111,Brooks Foster,Brooks,Bobby,Foster,,,,FOS138735,34611,FostBr00,,,,3200464f-5313-8735-1ead-66387b6dd908,1986-04-09,WR,WR,,,73,204,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bvc03jfojqmof2ylxlmc",North Carolina,,0,2009,2010,MIA,DEV,,,2,,,2009,5,160,LA
00-0025990,Brandon Foster,Brandon,Brandon,Foster,,,,FOS123904,,,,,,3200464f-5312-3904-1ac0-daddeb3ba9ce,1984-12-24,DB,DB,,,68,185,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hycntchgdasvr4l86hy2",Texas,,39,2008,2008,IND,DEV,,,0,,,,,,
00-0032577,D.J. Foster,D.J.,Darryll,Foster,D.Foster,D.J.,Jr.,FOS199981,43697,FostD.01,11214,5222,2978124,3200464f-5319-9981-38eb-7acc9e425a3f,1993-11-22,RB,RB,,,72,205,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jjizp7deudsht2dqmzvq",Arizona State,,37,2016,2020,ARI,ACT,RES,,5,HB,,,,,
00-0021164,DeShaun Foster,DeShaun,DeShaun,Foster,,,,FOS187731,27164,FostDe00,1041,,3562,3200464f-5318-7731-531d-2b960763befd,1980-01-10,RB,RB,,,72,222,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jujycv6ylthhpis3i3wl",UCLA,,29,2002,2008,SF,ACT,,,7,,,2002,2,34,CAR
FOS177981,Derrick Foster,Derrick,Derrick,Foster,,,,FOS177981,,FostDe20,,,,3200464f-5317-7981-1c74-18b0021843d3,1963-10-12,RB,RB,,,71,205,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/p7qat9sh7fmwffdsld9k",William Paterson Coll. of NJ,,0,1987,1987,NYJ,ACT,,,1,,,,,,
00-0030935,Donte Foster,Donte,Donte,Foster,,Donte,,FOS208731,41775,FostDo01,8908,3452,17062,3200464f-5320-8731-cfed-fcfcb2bf0ed4,1990-11-10,WR,WR,,,73,199,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hbqloxcymsle1r7kpdwc",Ohio,Mid-American Conference,0,2014,2015,DAL,DEV,ACT,Active,1,,,,,,
FOS237308,Eddie Foster,Eddie,Edward,Foster,,,,FOS237308,,FostEd00,,,,3200464f-5323-7308-1efd-53fcaa19634a,1954-06-05,WR,WR,,,70,185,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/b1zkoo8klgchlzqfjxs8",Houston,,0,1977,1979,HOU,ACT,,,2,,,1977,8,205,HOU
00-0025991,Eric Foster,Eric,Eric,Foster,,,,FOS247808,,FostEr20,4686,6621,11631,3200464f-5324-7808-ded1-3d59b4ebc16b,1985-04-05,DL,DT,,,74,265,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vwylqzq45cz8smogtd0o",Rutgers,,68,2008,2011,IND,RES,,,4,DI,,,,,
00-0022074,George Foster,George,George,Foster,,,,FOS316410,28056,FostGe20,1336,,4478,3200464f-5331-6410-e502-82bd8facf250,1980-06-09,OL,OT,,,77,338,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/p66mncs4f8gidwlimhch",Georgia,,72,2003,2008,DET,ACT,,,6,,,2003,1,20,DEN
00-0030215,Glenn Foster,Glenn,Glenn,Foster,,,,FOS326910,,FostGl00,8204,2596,16136,3200464f-5332-6910-a382-da428a49bb9c,1990-05-31,DL,DE,,,76,285,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kh5zrqllck6a0vsvslxw",Illinois,,97,2013,2014,NO,RES,,,2,DI,,,,,
00-0029026,Jason Foster,Jason,Jason,Foster,,,,FOS420164,,FostJa00,7684,1271,15362,3200464f-5342-0164-9417-f1b37dcdb77c,1988-10-21,OL,G,,,75,300,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tjqdd6fyxlkz7aiec9ll",Rhode Island,,0,2012,2013,TB,DEV,,,1,,,,,,
00-0039742,Javon Foster,Javon,Javon,Foster,J.Foster,Javon,,FOS422601,57235,FostJa01,81748,11722,4362769,3200464f-5342-2601-9382-68a5b7a3d54b,2000-03-31,OL,OT,OL,T,77,319,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u6kt89h2dkm1mzwqxhqj",Missouri,Southeastern Conference,73,2024,2026,CIN,ACT,ACT,Active,2,T,A,2024,4,114,JAX
00-0026004,Jayson Foster,Jayson,Jayson,Foster,,,,FOS425039,,,,,,3200464f-5342-5039-6492-13897ef1b6bc,1985-07-22,WR,WR,,,67,175,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hegkb79ungdlwmgvi19w",Georgia Southern,,0,2008,2008,DEN,DEV,,,0,,,,,,
FOS474616,Jerome Foster,Jerome,Jerome,Foster,,,,FOS474616,,FostJe20,,,,3200464f-5347-4616-df82-848729e4a976,1960-07-25,DL,NT,,,74,268,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wzxln0omlgewzkcpyds4",Ohio State,,0,1983,1987,NYJ,ACT,,,3,,,1983,5,139,HOU
00-0019231,Larry Foster,Larry,Larry,Foster,,,,FOS489447,,FostLa00,,,2499,3200464f-5348-9447-7faa-23419a9860c1,1976-11-07,WR,WR,,,70,188,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gdobpov0wzbvs873rsow",LSU,,89,2000,2003,ARI,CUT,,,4,,,,,,
00-0028022,Mason Foster,Mason,Mason,Foster,M.Foster,Mason,,FOS493155,37159,FostMa00,6236,357,14023,3200464f-5349-3155-2b09-f2343abe068f,1989-03-01,LB,ILB,LB,MLB,73,250,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sz7atmla9y50ylo2o6ul",Washington,Pacific Twelve Conference,54,2011,2018,WAS,ACT,ACT,Active,8,LB,,2011,3,84,TB
00-0005463,Melvin Foster,Melvin,Melvin,Foster,,,,FOS496863,,,,,,3200464f-5349-6863-4042-035d065df27f,1966-12-23,LB,LB,,,73,243,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qwzz64nk0dpzxw5s51sm",Iowa,,0,1992,1992,DAL,PUP,,,0,,,,,,
00-0040621,Montorie Foster Jr,Montorie,Montorie,Foster,,,,FOS782501,,FostMo00,129616,13085,4600597,3200464f-5378-2501-ef0b-5eba9d20b249,2001-08-03,WR,WR,,,71,188,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qkyl0pfhi4pmzdtodu9k",Michigan State,,87,2025,2026,SEA,ACT,,,1,WR,I,,,,
00-0026561,Ramon Foster,Ramon,Ramon,Foster,R.Foster,Ramon,,FOS543693,34774,FostRa21,5229,1997,12883,3200464f-5354-3693-c1fb-ecb983ca45b1,1986-01-07,OL,G,OL,G,77,328,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/znmbx2dptq9o9k0b3ql9",Tennessee,Southeastern Conference,73,2009,2019,PIT,ACT,ACT,Active,11,G,,,,,
00-0024533,Renardo Foster,Renardo,Renardo,Foster,,,,FOS567844,32453,FostRe20,,,10999,3200464f-5356-7844-8b8f-04f88aa70e5e,1984-07-15,OL,OT,,,79,333,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kehe9t5v8w6lmkf5lojd",Louisville,,71,2007,2010,LA,ACT,,,2,,,,,,
00-0033887,Reuben Foster,Reuben,Reuben,Foster,R.Foster,Reuben,,FOS577594,44843,FostRe00,11786,5615,3054844,3200464f-5357-7594-a876-c8197ff307fe,1994-04-04,LB,OLB,LB,MLB,73,228,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qfqqfifobjiyj6gko3yj",Alabama,,56,2017,2020,WAS,RES,EXE,,4,LB,A,2017,1,31,SF
00-0034510,Robert Foster,Robert,Robert,Foster,R.Foster,Robert,,FOS633097,46694,FostRo01,48230,7214,3054845,3200464f-5363-3097-c0bc-5d4f423cb6ba,1994-05-07,WR,WR,WR,WR,74,196,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fmcyiy4oxx9soub8zbui",Alabama,Southeastern Conference,82,2018,2022,NYG,CUT,CUT,PS; Vet,4,WR,,,,,
FOS652597,Ron Foster,Ron,Ronald,Foster,,,,FOS652597,,FostRo20,,,,3200464f-5365-2597-5945-b978f4ffb758,1963-11-25,DB,DB,,,72,200,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ypyqecliovcze2nl1rok",California State-Northridge,,0,1987,1987,LV,ACT,,,0,,,,,,
00-0005467,Roy Foster,Roy,Roy,Foster,,,,FOS711924,,FostRo00,,,6754,3200464f-5371-1924-80e9-bef9b211cfdc,1960-05-24,OL,G,,,76,275,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hmkvjpebrixer0dovz95",USC,,0,1982,1993,SF,RES,,,12,,,1982,1,24,MIA
